product_ic,product_n_category,brand,price,sales_volu,click_thro,customer_,conversion,popularity,product_description
P1,Electronics,HP,1301.36,4852,0.29,642,0.07,735,"A cheap laptop from HP, selling at 1301.36."
P2,Home & Kitchen,Prestige,488.72,830,0.43,927,0.18,1040,"A unbreakable container from Prestige, priced 488.72."
P3,Beauty,Estee Lauder,421.15,2520,0.35,801,0.08,509,"A hydrating lipstick from Estee Lauder, priced at 421.15."
P4,Home & Kitchen,Bosch,730.04,1016,0.37,456,0.19,1433,"A durable pan from Bosch, priced 730.04."
P5,Sports,Nike,1641.07,2452,0.47,297,0.1,1567,"A breathable hoodie by Nike, ideal for workouts. price is 1641.07."
P6,Home & Kitchen,Tupperware,457.93,1253,0.44,285,0.06,807,"A durable table from Tupperware, priced 457.93."
P7,Beauty,Clinique,1463.44,3197,0.11,106,0.16,1376,"A anti-aging cream from Clinique, priced at 1463.44."
P8,Home & Kitchen,IKEA,1560.2,4472,0.12,281,0.18,736,"A durable pan from IKEA, priced 1560.2."
P9,Sports,Under Armour,923.01,630,0.39,112,0.19,1985,"A durable running shoes by Under Armour, ideal for training. price is 923.01."
P10,Grocery,Kellogg's,1968.05,366,0.31,522,0.19,1561,"rich in protein quinoa flour from Kellogg's, at the price of 1968.05."
P11,Electronics,Lenovo,1532.02,2995,0.5,372,0.04,1462,"A noise-cancelling laptop from Lenovo, selling at 1532.02."
P12,Beauty,L'Oreal,1097.8,3109,0.13,660,0.04,1779,"A hydrating cream from L'Oreal, priced at 1097.8."
P13,Apparel,GAP,1518.4,2758,0.37,979,0.13,1111,"A linen dress from GAP, for 1518.4."
P14,Grocery,Unilever,799.48,4930,0.49,219,0.15,526,"rich in protein quinoa flour from Unilever, at the price of 799.48."
P15,Electronics,Samsung,1759.06,1184,0.27,540,0.08,306,"A high-speed laptop from Samsung, selling at 1759.06."
P16,Grocery,Unilever,1946.11,1796,0.12,647,0.06,894,"gluten-free oats from Unilever, at the price of 1946.11."
P17,Sports,Wilson,205.53,147,0.13,278,0.07,121,"A breathable shoes by Wilson, ideal for training. price is 205.53."
P18,Grocery,Unilever,85.77,4366,0.13,722,0.16,224,"healthy cereal from Unilever, at the price of 85.77."
P19,Beauty,L'Oreal,1042.91,1942,0.21,305,0.13,594,"A dewy lipstick from L'Oreal, priced at 1042.91."
P20,Home & Kitchen,Tupperware,1069.75,2810,0.03,877,0.13,1057,"A energy-efficient pan from Tupperware, priced 1069.75."
P21,Apparel,H&M,746.46,2705,0.26,865,0.09,778,"A cotton T-shirt from H&M, for 746.46."
P22,Apparel,Levi's,1408.78,2815,0.21,401,0.17,1533,"A denim jeans from Levi's, for 1408.78."
P23,Home & Kitchen,Bosch,343.62,989,0.09,698,0.15,405,"A long-lasting pan from Bosch, priced 343.62."
P24,Sports,Nike,1441.05,2138,0.32,580,0.03,104,"A breathable sports jersey by Nike, ideal for matches. price is 1441.05."
P25,Apparel,GAP,294.24,346,0.22,805,0.02,1014,"A Polyester T-shirt from GAP, for 294.24."
P26,Electronics,Apple,314.95,1857,0.22,883,0.11,1898,"A noise-cancelling SSD from Apple, selling at 314.95."
P27,Home & Kitchen,Tupperware,1528.71,3285,0.13,227,0.07,1362,"A non-stick pan from Tupperware, priced 1528.71."
P28,Sports,Puma,137.82,1900,0.45,127,0.12,312,"A athlete leggings by Puma, ideal for matches. price is 137.82."
P29,Home & Kitchen,Prestige,1496.22,1333,0.04,980,0.18,1389,"A long-lasting table from Prestige, priced 1496.22."
P30,Sports,Adidas,1806.76,2721,0.3,749,0.12,603,"A moisture-wicking shoes by Adidas, ideal for matches. price is 1806.76."
P31,Beauty,Revlon,640.68,2326,0.47,987,0.05,1762,"A dewy cream from Revlon, priced at 640.68."
P32,Sports,Nike,1189.18,4655,0.41,707,0.09,563,"A athlete hiking shoes by Nike, ideal for training. price is 1189.18."
P33,Grocery,Nestle,596.92,4045,0.02,325,0.2,432,"organic quinoa flour from Nestle, at the price of 596.92."
P34,Apparel,Zara,1940.36,1242,0.17,982,0.05,980,"A linen jacket from Zara, for 1940.36."
